DAG,Half,Type,Combo,CellLength,PlantRep
1,Scion,Nongrafted,Scion_NonGraftedCells,35.615,5
1,Scion,Nongrafted,Scion_NonGraftedCells,38.158,5
1,Scion,Nongrafted,Scion_NonGraftedCells,42.654,5
1,Scion,Nongrafted,Scion_NonGraftedCells,28.848,5
1,Scion,Nongrafted,Scion_NonGraftedCells,25.012,5
1,Scion,Nongrafted,Scion_NonGraftedCells,27.113,5
3,Root,Grafted,Root_GraftedCells,20.728,1
3,Root,Grafted,Root_GraftedCells,14.95,2
3,Root,Grafted,Root_GraftedCells,20.089,3
3,Root,Grafted,Root_GraftedCells,23.507,4
3,Root,Grafted,Root_GraftedCells,25.513,5
3,Root,Grafted,Root_GraftedCells,22.733,1
3,Root,Grafted,Root_GraftedCells,22.972,2
3,Root,Grafted,Root_GraftedCells,31.474,3
3,Root,Grafted,Root_GraftedCells,17.968,4
3,Root,Grafted,Root_GraftedCells,14.867,5
3,Root,Grafted,Root_GraftedCells,12.966,1
3,Root,Grafted,Root_GraftedCells,24.464,2
3,Root,Grafted,Root_GraftedCells,30.403,3
3,Root,Grafted,Root_GraftedCells,29.583,4
3,Root,Grafted,Root_GraftedCells,18.911,5
3,Root,Grafted,Root_GraftedCells,11.666,1
3,Root,Grafted,Root_GraftedCells,15.521,2
3,Root,Grafted,Root_GraftedCells,32.954,3
3,Root,Grafted,Root_GraftedCells,32.905,4
3,Root,Grafted,Root_GraftedCells,26.482,5
3,Root,Grafted,Root_GraftedCells,30.435,1
3,Root,Grafted,Root_GraftedCells,18.439,2
3,Root,Grafted,Root_GraftedCells,21.434,3
3,Root,Grafted,Root_GraftedCells,24.086,4
3,Root,Grafted,Root_GraftedCells,20.014,5
3,Root,Grafted,Root_GraftedCells,20.865,1
3,Root,Grafted,Root_GraftedCells,34.705,2
3,Root,Grafted,Root_GraftedCells,25.263,3
3,Root,Grafted,Root_GraftedCells,24.937,4
3,Root,Grafted,Root_GraftedCells,47.408,5
3,Root,Grafted,Root_GraftedCells,23.118,1
3,Root,Grafted,Root_GraftedCells,34.443,2
3,Root,Grafted,Root_GraftedCells,31.87,3
3,Root,Grafted,Root_GraftedCells,20.547,4
3,Root,Grafted,Root_GraftedCells,17.722,5
3,Root,Grafted,Root_GraftedCells,52.543,1
3,Root,Grafted,Root_GraftedCells,33.314,2
