DAG,Half,Type,Combo,CellLength,PlantRep
7,Root,Grafted,Root_GraftedCells,17.362,3
7,Root,Grafted,Root_GraftedCells,31.13,3
7,Root,Grafted,Root_GraftedCells,31.73,3
7,Root,Grafted,Root_GraftedCells,28.411,4
7,Root,Grafted,Root_GraftedCells,27.733,4
7,Root,Grafted,Root_GraftedCells,41.72,4
7,Root,Grafted,Root_GraftedCells,45.304,4
7,Root,Grafted,Root_GraftedCells,50.689,4
7,Root,Grafted,Root_GraftedCells,27.618,4
7,Root,Grafted,Root_GraftedCells,28.382,4
7,Root,Grafted,Root_GraftedCells,18.856,4
7,Root,Grafted,Root_GraftedCells,38.666,4
7,Root,Grafted,Root_GraftedCells,35.927,4
7,Root,Grafted,Root_GraftedCells,42.349,5
7,Root,Grafted,Root_GraftedCells,27.954,5
7,Root,Grafted,Root_GraftedCells,55.068,5
7,Root,Grafted,Root_GraftedCells,34.234,5
7,Root,Grafted,Root_GraftedCells,32.18,5
7,Root,Grafted,Root_GraftedCells,20.055,5
7,Root,Grafted,Root_GraftedCells,38.079,5
7,Root,Grafted,Root_GraftedCells,32.376,5
7,Root,Grafted,Root_GraftedCells,41.736,5
7,Root,Grafted,Root_GraftedCells,39.666,5
7,Root,Nongrafted,Root_NonGraftedCells,18.634,1
7,Root,Nongrafted,Root_NonGraftedCells,24.37,1
7,Root,Nongrafted,Root_NonGraftedCells,16.68,1
7,Root,Nongrafted,Root_NonGraftedCells,37.335,1
7,Root,Nongrafted,Root_NonGraftedCells,28.653,1
7,Root,Nongrafted,Root_NonGraftedCells,24.585,1
7,Root,Nongrafted,Root_NonGraftedCells,11.709,1
7,Root,Nongrafted,Root_NonGraftedCells,27.278,1
7,Root,Nongrafted,Root_NonGraftedCells,19.333,1
7,Root,Nongrafted,Root_NonGraftedCells,21.398,1
7,Root,Nongrafted,Root_NonGraftedCells,24.667,2
7,Root,Nongrafted,Root_NonGraftedCells,20.069,2
7,Root,Nongrafted,Root_NonGraftedCells,21.975,2
7,Root,Nongrafted,Root_NonGraftedCells,24.777,2
7,Root,Nongrafted,Root_NonGraftedCells,27.513,2
7,Root,Nongrafted,Root_NonGraftedCells,20.572,2
7,Root,Nongrafted,Root_NonGraftedCells,22.253,2
7,Root,Nongrafted,Root_NonGraftedCells,116.103,2
7,Root,Nongrafted,Root_NonGraftedCells,15,2
7,Root,Nongrafted,Root_NonGraftedCells,15.794,2
7,Root,Nongrafted,Root_NonGraftedCells,26.333,3
7,Root,Nongrafted,Root_NonGraftedCells,17.159,3
7,Root,Nongrafted,Root_NonGraftedCells,19.012,3
7,Root,Nongrafted,Root_NonGraftedCells,21.187,3
7,Root,Nongrafted,Root_NonGraftedCells,24.723,3
7,Root,Nongrafted,Root_NonGraftedCells,21.169,3
7,Root,Nongrafted,Root_NonGraftedCells,9.989,3
7,Root,Nongrafted,Root_NonGraftedCells,115.135,3
7,Root,Nongrafted,Root_NonGraftedCells,16.388,3
7,Root,Nongrafted,Root_NonGraftedCells,16.549,3
7,Root,Nongrafted,Root_NonGraftedCells,21,4
7,Root,Nongrafted,Root_NonGraftedCells,22.123,4
7,Root,Nongrafted,Root_NonGraftedCells,22.689,4
7,Root,Nongrafted,Root_NonGraftedCells,23.211,4
7,Root,Nongrafted,Root_NonGraftedCells,22.816,4
7,Root,Nongrafted,Root_NonGraftedCells,18.871,4
7,Root,Nongrafted,Root_NonGraftedCells,19.047,4
7,Root,Nongrafted,Root_NonGraftedCells,108.812,4
7,Root,Nongrafted,Root_NonGraftedCells,16.66,4
7,Root,Nongrafted,Root_NonGraftedCells,15.206,4
7,Root,Nongrafted,Root_NonGraftedCells,23.364,5
7,Root,Nongrafted,Root_NonGraftedCells,16.67,5
7,Root,Nongrafted,Root_NonGraftedCells,16.418,5
7,Root,Nongrafted,Root_NonGraftedCells,23.688,5
7,Root,Nongrafted,Root_NonGraftedCells,24.335,5
7,Root,Nongrafted,Root_NonGraftedCells,14.974,5
7,Root,Nongrafted,Root_NonGraftedCells,17.779,5
7,Root,Nongrafted,Root_NonGraftedCells,14.126,5
7,Root,Nongrafted,Root_NonGraftedCells,21.766,5
7,Root,Nongrafted,Root_NonGraftedCells,18.481,5
7,Scion,Grafted,Scion_GraftedCells,22.484,1
7,Scion,Grafted,Scion_GraftedCells,35.782,1
7,Scion,Grafted,Scion_GraftedCells,55.065,1
7,Scion,Grafted,Scion_GraftedCells,45.387,1
7,Scion,Grafted,Scion_GraftedCells,43.986,1
7,Scion,Grafted,Scion_GraftedCells,28.385,1
7,Scion,Grafted,Scion_GraftedCells,26.611,1
7,Scion,Grafted,Scion_GraftedCells,31.483,1
7,Scion,Grafted,Scion_GraftedCells,26.578,1
7,Scion,Grafted,Scion_GraftedCells,13.289,1
7,Scion,Grafted,Scion_GraftedCells,33.645,2
7,Scion,Grafted,Scion_GraftedCells,27.637,2
7,Scion,Grafted,Scion_GraftedCells,43.358,2
7,Scion,Grafted,Scion_GraftedCells,36.162,2
7,Scion,Grafted,Scion_GraftedCells,35.141,2
7,Scion,Grafted,Scion_GraftedCells,17.555,2
7,Scion,Grafted,Scion_GraftedCells,18.605,2
7,Scion,Grafted,Scion_GraftedCells,21.997,2
7,Scion,Grafted,Scion_GraftedCells,17.952,2
7,Scion,Grafted,Scion_GraftedCells,30.572,2
7,Scion,Grafted,Scion_GraftedCells,33.881,3
7,Scion,Grafted,Scion_GraftedCells,22.087,3
7,Scion,Grafted,Scion_GraftedCells,25.118,3
7,Scion,Grafted,Scion_GraftedCells,28.385,3
7,Scion,Grafted,Scion_GraftedCells,36.858,3
7,Scion,Grafted,Scion_GraftedCells,26.908,3
7,Scion,Grafted,Scion_GraftedCells,20.769,3
7,Scion,Grafted,Scion_GraftedCells,25.648,3
7,Scion,Grafted,Scion_GraftedCells,29.304,3
7,Scion,Grafted,Scion_GraftedCells,21.765,3
7,Scion,Grafted,Scion_GraftedCells,44.18,4
7,Scion,Grafted,Scion_GraftedCells,46.654,4
7,Scion,Grafted,Scion_GraftedCells,31.956,4
7,Scion,Grafted,Scion_GraftedCells,36.162,4
7,Scion,Grafted,Scion_GraftedCells,33.835,4
7,Scion,Grafted,Scion_GraftedCells,24.186,4
7,Scion,Grafted,Scion_GraftedCells,18.605,4
7,Scion,Grafted,Scion_GraftedCells,31.651,4
7,Scion,Grafted,Scion_GraftedCells,29.243,4
7,Scion,Grafted,Scion_GraftedCells,19.677,4
7,Scion,Grafted,Scion_GraftedCells,35.763,5
7,Scion,Grafted,Scion_GraftedCells,31.201,5
7,Scion,Grafted,Scion_GraftedCells,42.197,5
7,Scion,Grafted,Scion_GraftedCells,42.654,5
7,Scion,Grafted,Scion_GraftedCells,34.882,5
7,Scion,Grafted,Scion_GraftedCells,21.273,5
7,Scion,Grafted,Scion_GraftedCells,37.233,5
7,Scion,Grafted,Scion_GraftedCells,17.592,5
7,Scion,Grafted,Scion_GraftedCells,14.991,5
7,Scion,Grafted,Scion_GraftedCells,43.449,5
7,Scion,Nongrafted,Scion_NonGraftedCells,27.533,1
7,Scion,Nongrafted,Scion_NonGraftedCells,58.116,1
7,Scion,Nongrafted,Scion_NonGraftedCells,24.186,1
7,Scion,Nongrafted,Scion_NonGraftedCells,27.915,1
7,Scion,Nongrafted,Scion_NonGraftedCells,33.049,1
7,Scion,Nongrafted,Scion_NonGraftedCells,31.797,1
7,Scion,Nongrafted,Scion_NonGraftedCells,35.372,1
7,Scion,Nongrafted,Scion_NonGraftedCells,40.225,1
7,Scion,Nongrafted,Scion_NonGraftedCells,28.948,1
7,Scion,Nongrafted,Scion_NonGraftedCells,26.908,1
7,Scion,Nongrafted,Scion_NonGraftedCells,25.258,2
7,Scion,Nongrafted,Scion_NonGraftedCells,30.572,2
7,Scion,Nongrafted,Scion_NonGraftedCells,42.546,2
7,Scion,Nongrafted,Scion_NonGraftedCells,30.565,2
7,Scion,Nongrafted,Scion_NonGraftedCells,25.562,2
7,Scion,Nongrafted,Scion_NonGraftedCells,30.136,2
7,Scion,Nongrafted,Scion_NonGraftedCells,27.468,2
7,Scion,Nongrafted,Scion_NonGraftedCells,37.798,2
7,Scion,Nongrafted,Scion_NonGraftedCells,32.585,2
7,Scion,Nongrafted,Scion_NonGraftedCells,33.881,2
7,Scion,Nongrafted,Scion_NonGraftedCells,19.281,3
7,Scion,Nongrafted,Scion_NonGraftedCells,36.929,3
7,Scion,Nongrafted,Scion_NonGraftedCells,21.694,3
7,Scion,Nongrafted,Scion_NonGraftedCells,26.595,3
7,Scion,Nongrafted,Scion_NonGraftedCells,15.412,3
7,Scion,Nongrafted,Scion_NonGraftedCells,28.848,3
7,Scion,Nongrafted,Scion_NonGraftedCells,33.069,3
7,Scion,Nongrafted,Scion_NonGraftedCells,36.84,3
7,Scion,Nongrafted,Scion_NonGraftedCells,24.368,3
7,Scion,Nongrafted,Scion_NonGraftedCells,37.88,3
7,Scion,Nongrafted,Scion_NonGraftedCells,16.057,4
7,Scion,Nongrafted,Scion_NonGraftedCells,30.565,4
7,Scion,Nongrafted,Scion_NonGraftedCells,36.296,4
7,Scion,Nongrafted,Scion_NonGraftedCells,23.492,4
7,Scion,Nongrafted,Scion_NonGraftedCells,31.024,4
7,Scion,Nongrafted,Scion_NonGraftedCells,40.269,4
7,Scion,Nongrafted,Scion_NonGraftedCells,25.284,4
7,Scion,Nongrafted,Scion_NonGraftedCells,27.946,4
7,Scion,Nongrafted,Scion_NonGraftedCells,27.533,4
7,Scion,Nongrafted,Scion_NonGraftedCells,37.71,4
7,Scion,Nongrafted,Scion_NonGraftedCells,28.331,5
7,Scion,Nongrafted,Scion_NonGraftedCells,23.341,5
7,Scion,Nongrafted,Scion_NonGraftedCells,30.572,5
7,Scion,Nongrafted,Scion_NonGraftedCells,25.328,5
7,Scion,Nongrafted,Scion_NonGraftedCells,11.96,5
7,Scion,Nongrafted,Scion_NonGraftedCells,30.026,5
7,Scion,Nongrafted,Scion_NonGraftedCells,32.066,5
7,Scion,Nongrafted,Scion_NonGraftedCells,29.908,5
7,Scion,Nongrafted,Scion_NonGraftedCells,22.728,5
7,Scion,Nongrafted,Scion_NonGraftedCells,29.175,5
